id,account_id,transaction_date,description,transaction_type,debit,credit,balance,currency,created_at
6d4d1539-5880-4c38-94d1-a9b4010ea7cb,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2019-05-10,Security Purchase (Fee),Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
7112df47-efa1-4609-bc09-13f880f29b22,031afca7-0ec1-463a-85a3-25f5478b067c,2018-03-16,HST on Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
71ca8434-118e-4f27-a58a-e689c059f6a2,031afca7-0ec1-463a-85a3-25f5478b067c,2020-01-01,Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
72e30d1f-00fc-45dc-a260-3e5beec5bff4,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2019-05-10,HST on Security Purchase (Fee),Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
7596b62a-b360-4525-8317-cba9d2577a74,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2020-01-01,Annual Administration Fee (Fee),Fee,150.00,0.00,,CAD,2025-12-02 20:40:36.904713+00
779d6749-3306-4a85-bcdc-124d4fafecc1,86e12c3f-5928-4d72-8270-0f65fe9437f1,2024-01-01,Annual Administration Fee (Fee),Fee,75.00,0.00,,CAD,2025-12-02 21:12:29.297813+00
786e0376-c5a7-4091-887f-4edd13bf29e0,031afca7-0ec1-463a-85a3-25f5478b067c,2018-04-05,HST on Security Purchase (Fee),Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
78d6f7df-e857-49d7-8745-5d9b4ae2c423,031afca7-0ec1-463a-85a3-25f5478b067c,2019-05-10,HST on Security Purchase (Fee),Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
7c3700bf-f17d-4b43-9500-210cae492ecf,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2021-01-01,HST on Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
7c9a10a0-72d4-4554-9cfe-18f0b7eb153a,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2025-01-01,HST on Annual Administration Fee (Fee),Fee,19.50,0.00,,CAD,2025-12-02 20:40:36.904713+00
7d7a7e0f-14d5-437c-8d9c-ba344032849a,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2019-05-10,Security Purchase (Fee),Fee,75.00,0.00,,CAD,2025-12-02 20:40:36.904713+00
877f1bf8-f4af-4fb6-8367-d312d3fcd05d,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2020-04-13,Security Purchase (Fee),Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
87cfacf9-bdc2-41e4-9e57-c9010ebacea6,86e12c3f-5928-4d72-8270-0f65fe9437f1,2023-04-01,Purchase,Purchase,100.00,0.00,,CAD,2025-12-02 21:12:29.297813+00
893aa9fc-7552-4a06-a9ad-64a1758ff306,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2025-01-01,Annual Administration Fee (Fee),Fee,150.00,0.00,,CAD,2025-12-02 20:40:36.904713+00
8a99a670-7065-46a5-8d60-97affe5303a1,031afca7-0ec1-463a-85a3-25f5478b067c,2025-01-01,HST on Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-11-29 05:19:48.899209+00
9b8a408b-f328-47e8-be94-8ea125dac031,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2020-04-13,Security Purchase (Fee),Fee,75.00,0.00,,CAD,2025-12-02 20:40:36.904713+00
9caa2165-360b-40a5-8e90-627030faa096,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2025-01-01,HST on Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
a76221fe-91f6-4b15-96b5-1d9f5ee34a4b,86e12c3f-5928-4d72-8270-0f65fe9437f1,2023-01-01,Annual Administration Fee (Fee),Fee,75.00,0.00,,CAD,2025-12-02 21:12:29.297813+00
ac060f5e-cb70-41fb-b376-770e0629e768,d9f5fc61-9100-450d-aeb1-f58e664f02a5,2022-01-01,HST on Annual Administration Fee (Fee),Other,0.00,0.00,,CAD,2025-12-02 20:57:03.928877+00
